{5.068110930097918, 15.591156390019897}	{0.24858855936311208, 18.69679055485087}	{-4.368188939261777, 20.42522129324477}	{-8.330299217231046, 20.60725776184252}	{-11.249903314891514, 19.225080962775117}	{-12.841210041086283, 16.413987991327303}	{-12.948451206169498, 12.449148213580807}	{-11.561129297709686, 7.71866777164456}	{-8.815045050147003, 2.6855990503705587}	{-4.979004322726886, -2.1573861163511}	{-0.42850550911655905, -6.3362225973399156}	{4.391016861618241, -9.441856762170888}	{9.007794360243128, -11.170287500564784}	{12.9699046382124, -11.352323969162535}	{15.889508735872866, -9.970147170095132}	{17.480815462067635, -7.159054198647318}	{17.588056627150852, -3.194214420900825}	{16.20073471869104, 1.5362660210354226}	{13.454650471128357, 6.569334742309424}	{9.618609743708241, 11.412319909031083}
{3.8991385372613925, -8.77769858348536}	{8.81170290182701, -9.121724471026129}	{13.001940674139096, -8.512944776656967}	{16.059682185940474, -7.010951098480274}	{17.685614393518176, -4.762769042721297}	{17.720579723858677, -1.9884663330031689}	{16.161155526810468, 1.0403889517433087}	{13.159989107927887, 4.027311352971481}	{9.01085554664716, 6.679920094937044}	{4.119900944659841, 8.738559352164549}	{-1.0341139843070595, 10.001715170773453}	{-5.946678348872669, 10.34574105831422}	{-10.136916121184756, 9.736961363945058}	{-13.194657632986134, 8.234967685768368}	{-14.820589840563837, 5.986785630009389}	{-14.855555170904335, 3.212482920291261}	{-13.296130973856126, 0.18362763554478406}	{-10.294964554973548, -2.8032947656833893}	{-6.145830993692824, -5.455903507648952}	{-1.2548763917055057, -7.514542764876458}
{1.9602538480699794, -7.012337099941052}	{3.670766404409081, -7.888406175988187}	{5.267988882548189, -8.311836056460926}	{6.595574017823674, -8.241178474449143}	{7.52356852736523, -7.683349886380473}	{7.96113384286099, -6.69295444107539}	{7.865438022533407, -5.366938945211178}	{7.2458484400281336, -3.835103034416248}	{6.163014840615245, -2.247393480567579}	{4.722932521550596, -0.7592263570188136}	{3.066566773867735, 0.48372616950705494}	{1.3560542175286363, 1.3597952455541886}	{-0.24116826061047236, 1.7832251260269274}	{-1.5687533958859579, 1.712567544015144}	{-2.4967479054275135, 1.154738955946475}	{-2.934313220923273, 0.16434351064139063}	{-2.838617400595692, -1.1616719852228208}	{-2.219027818090418, -2.6935078960177505}	{-1.13619421867753, -4.2812174498664195}	{0.30388810038712055, -5.769384573415184}
{-7.835200295934616, -3.168471982422}	{-7.384484763675557, -6.24372851127083}	{-6.443776874920772, -8.74507827984464}	{-5.105159672118842, -10.427671744866801}	{-3.4996663337744938, -11.126804934662928}	{-1.7844537339747193, -10.774041821468414}	{-0.12741883257681375, -9.40391331664787}	{1.3092362490293628, -7.150537144499756}	{2.384881701691657, -4.234489464948915}	{2.9942258540409306, -0.9412133421686487}	{3.0776218548948826, 2.4069224113393357}	{2.626906322635824, 5.48217894018816}	{1.6861984338810396, 7.98352870876197}	{0.3475812310791091, 9.666122173784133}	{-1.2579121072652386, 10.36525536358026}	{-2.9731247070650135, 10.012492250385746}	{-4.630159608462919, 8.642363745565202}	{-6.066814690069096, 6.38898757341709}	{-7.14246014273139, 3.4729398938662484}	{-7.751804295080664, 0.1796637710859822}
{0.3096586694588259, -9.665026927427231}	{3.6538192545730004, -10.241059453023716}	{6.568740782551134, -10.113844371146186}	{8.769090424782219, -9.295834380368408}	{10.039482627547251, -7.86710199799845}	{10.255562550696641, -5.967501504186533}	{9.396178785835177, -3.78297903056186}	{7.545453803546273, -1.5273708573058726}	{4.884549459855547, 0.5785283718368865}	{1.6739336115341619, 2.328578567655219}	{-1.772116292508208, 3.5514726236657337}	{-5.1162768776223775, 4.127505149262217}	{-8.031198405600511, 4.000290067384685}	{-10.231548047831595, 3.182280076606908}	{-11.501940250596629, 1.7535476942369508}	{-11.71802017374602, -0.14605279957496586}	{-10.858636408884557, -2.330575273199639}	{-9.007911426595653, -4.586183446455626}	{-6.347007082904926, -6.692082675598385}	{-3.136391234583541, -8.442132871416717}
{5.598664143472149, 8.244387149559106}	{4.517172452485806, 11.328273453563703}	{3.044931452589649, 13.721593277238108}	{1.3260543505597289, 15.19007180100133}	{-0.47120318673628514, 15.589964115455926}	{-2.1709130693182734, 14.88212597464949}	{-3.606695851303999, 13.135845507602482}	{-4.638007110305829, 10.522060813480916}	{-5.1638949147246, 7.296627349454219}	{-5.132881702188018, 3.775273015897712}	{-4.54800326202092, 0.30269250969821115}	{-3.4665115710345775, -2.7811937943063816}	{-1.9942705711384203, -5.174513617980786}	{-0.2753934691085004, -6.64299214174401}	{1.5218640681875133, -7.042884456198605}	{3.2215739507695016, -6.3350463153921694}	{4.657356732755227, -4.588765848345163}	{5.688667991757058, -1.9749811542235962}	{6.214555796175829, 1.2504523098030997}	{6.183542583639247, 4.771806643359608}
{-6.317720903615095, 0.2997006666484987}	{-9.527036286437662, -3.280798278516656}	{-11.569019722776597, -6.875540619818299}	{-12.243787646547865, -10.132647930847194}	{-11.485289071988163, -12.733291854398786}	{-9.36777112434571, -14.42290324348416}	{-6.098511213950825, -15.036091163124873}	{-1.9975272791061514, -14.512832507415036}	{2.5337477994105044, -12.904347479332959}	{7.051761245664024, -10.368085800401492}	{11.11425842468444, -7.152314434928643}	{14.323573807507, -3.571815489763493}	{16.365557243845934, 0.022926851538150217}	{17.040325167617205, 3.2800341625670457}	{16.281826593057502, 5.880678086118637}	{14.164308645415051, 7.570289475204014}	{10.895048735020167, 8.183477394844726}	{6.794064800175491, 7.660218739134891}	{2.262789721658836, 6.0517337110528135}	{-2.255223724594682, 3.5154720321213446}
{-1.526189761172049, -0.09860411240327593}	{0.19174442153397586, -0.6468794735451144}	{1.735294851260976, -0.7935522336695344}	{2.9533680573990466, -0.5242650410863474}	{3.726730547716331, 0.1346223975602081}	{3.9796802133272617, 1.1186135890366806}	{3.6874565785578888, 2.3313886196515883}	{2.8786645288212256, 3.6542326195078396}	{1.6324742651310613, 4.9576564011033994}	{0.07087157321551296, 6.114071763208203}	{-1.653282995114997, 7.0102807129598315}	{-3.371217177821019, 7.558556074101668}	{-4.9147676075480184, 7.705228834226088}	{-6.132840813686091, 7.435941641642901}	{-6.906203304003375, 6.7770542029963465}	{-7.159152969614305, 5.793063011519873}	{-6.866929334844934, 4.580287980904966}	{-6.058137285108271, 3.2574439810487146}	{-4.811947021418106, 1.9540201994531545}	{-3.250344329502558, 0.7976048373483513}
{-3.838611731817797, 1.977115723963391}	{-3.271926831399635, 0.6196903555907309}	{-2.547735640523832, -0.4172035955035325}	{-1.7369270386900344, -1.032067724921328}	{-0.9188686210814457, -1.164714847664948}	{-0.1736376453617432, -0.8021605391533981}	{0.42581748823610566, 0.02010585883180971}	{0.8208179345860347, 1.2215951821890094}	{0.9726982978693743, 2.6846972846796437}	{0.8665914699152362, 4.266193538480156}	{0.5128839263335125, 5.811276071336228}	{-0.05380097408464901, 7.168701439708886}	{-0.777992164960452, 8.205595390803149}	{-1.5888007667942496, 8.820459520220947}	{-2.406859184402838, 8.953106642964565}	{-3.152090160122541, 8.590552334453015}	{-3.75154529372039, 7.768285936467808}	{-4.146545740070319, 6.566796613110608}	{-4.298426103353659, 5.103694510619974}	{-4.192319275399521, 3.5221982568194616}
{8.67808477687868, -5.68683374108835}	{10.442974070683078, -3.798526542834814}	{11.580665756459192, -1.8894868623939947}	{11.979794645239174, -0.14658480474901436}	{11.601291220494758, 1.259572233185147}	{10.482206034628351, 2.1913398032633182}	{8.732082942757533, 2.5575100037198473}	{6.52223618693921, 2.322239544076247}	{4.068980964540588, 1.5085583361481119}	{1.6124589895642578, 0.19611516581778554}	{-0.6068682514840793, -1.486618885073538}	{-2.3717575452884736, -3.3749260833270713}	{-3.509449231064587, -5.28396576376789}	{-3.908578119844572, -7.026867821412871}	{-3.5300746951001543, -8.433024859347032}	{-2.4109895092337483, -9.364792429425204}	{-0.6608664173629295, -9.730962629881734}	{1.5489803384553928, -9.495692170238133}	{4.002235560854015, -8.682010962309999}	{6.458757535830345, -7.369567791979672}
