{-3.8773985345154944, -13.690056599333019}	{-2.0448027364807198, -13.12788799707874}	{-0.09193981456083844, -11.763102664928546}	{1.7900304020505802, -9.729295300211852}	{3.416887556094082, -7.225549138156275}	{4.629383534351585, -4.49694829772909}	{5.308830782515013, -1.8105872404712535}	{5.388720269946788, 0.5705742963547671}	{4.861231856994298, 2.4134516309964704}	{3.777999784745214, 3.53765108985772}	{2.245058355752914, 3.833128197146973}	{0.41246255771814133, 3.2709595948926946}	{-1.5404003642017396, 1.9061742627425007}	{-3.4223705808131584, -0.1276331019741921}	{-5.04922773485666, -2.63137926402977}	{-6.261723713114164, -5.359980104456955}	{-6.941170961277592, -8.04634116171479}	{-7.021060448709367, -10.427502698540813}	{-6.493572035756877, -12.270380033182516}	{-5.410339963507793, -13.394579492043766}
{-6.2282085241064955, 4.966318513057086}	{-6.108543096966704, 2.774631654370717}	{-5.130004624947151, 0.22805264707752904}	{-3.388379271567551, -2.424141612529357}	{-1.0541494610340658, -4.922335871395631}	{1.64419412926288, -7.021989469520567}	{4.442518828239736, -8.517573683572863}	{7.066905117286017, -9.262690310333134}	{9.260459781255403, -9.184402142841277}	{10.808462406244542, -8.290372572397128}	{11.559383709751009, -6.66811544242606}	{11.439718282611214, -4.4764285837396915}	{10.461179810591663, -1.9298495764465053}	{8.719554457212062, 0.7223446831603817}	{6.385324646678578, 3.2205389420266552}	{3.686981056381632, 5.320192540151591}	{0.8886563574047763, 6.815776754203888}	{-1.7357299316415045, 7.560893380964162}	{-3.9292845956108904, 7.4826052134723025}	{-5.477287220600031, 6.588575643028156}
{10.522112910051963, -12.867459530967754}	{10.467271134849868, -9.16367658549423}	{8.987938174045789, -4.803867572463933}	{6.228921444962046, -0.21480097464784542}	{2.460292728241254, 4.1543133954527}	{-1.9490483397437073, 7.875796181882453}	{-6.567484733572773, 10.585362720410426}	{-10.942931720479455, 12.017781759585345}	{-14.647090063853584, 12.032838143602461}	{-17.317370936656957, 10.62905804869019}	{-18.692388642118736, 7.943853251249584}	{-18.637546866916637, 4.240070305776063}	{-17.158213906112564, -0.11973870725423286}	{-14.399197177028817, -4.708805305070321}	{-10.630568460308025, -9.077919675170868}	{-6.221227392323064, -12.79940246160062}	{-1.602790998494, -15.508969000128594}	{2.7726559884126853, -16.94138803930351}	{6.476814331786814, -16.956444423320633}	{9.147095204590183, -15.552664328408362}
{-4.152830730039011, 15.706894049761322}	{-6.428225568991273, 12.784022843520601}	{-8.003273840559457, 8.457946341294496}	{-8.723798845915873, 3.1521310526682536}	{-8.51927057734333, -2.6140528541185244}	{-7.409709686801948, -8.276171122903902}	{-5.503727725023221, -13.279976167241458}	{-2.9878954861832483, -17.135660685831667}	{-0.10848015865360983, -19.46580341386123}	{2.8526610232408287, -20.04231374605159}	{5.605670929132471, -18.80875883430427}	{7.881065768084731, -15.885887628063553}	{9.456114039652913, -11.559811125837449}	{10.176639045009331, -6.253995837211206}	{9.972110776436788, -0.48781193042442816}	{8.862549885895406, 5.1743063383609496}	{6.95656792411668, 10.178111382698505}	{4.4407356852767075, 14.033795901288718}	{1.5613203577470691, 16.363938629318284}	{-1.3998208241473695, 16.940448961508643}
{-6.256636862070202, 7.348424235678985}	{-6.2585458304338975, 4.601108446036791}	{-5.21160929860889, 1.3509147450843169}	{-3.2183087087659583, -2.08400526229811}	{-0.4737622107807775, -5.3674176732929455}	{2.753374861743992, -8.177919204232559}	{6.147207847363507, -10.240398383352968}	{9.375524727220489, -11.352965378464448}	{12.122315352108215, -11.406714380375421}	{14.11870471764705, -10.39638406228752}	{15.169272323075441, -8.420872595120443}	{15.171181291439135, -5.673556805478252}	{14.124244759614127, -2.4233631045257784}	{12.130944169771197, 1.0115569028566493}	{9.386397671786016, 4.294969313851485}	{6.159260599261246, 7.105470844791098}	{2.765427613641732, 9.167950023911509}	{-0.4628892662152504, 10.280517019022989}	{-3.2096798911029776, 10.334266020933962}	{-5.206069256641813, 9.323935702846063}
{5.251341034302964, -18.103216082877015}	{6.426139180173559, -14.807690115202085}	{6.557109788681007, -10.461161441045558}	{5.631432544138718, -5.48909857107989}	{3.739719184815092, -0.37820166141635436}	{1.0671437946627256, 4.371239088714516}	{-2.124683326202594, 8.294315327390391}	{-5.523323900423344, 11.007009018690269}	{-8.796095308873523, 12.243782803661393}	{-11.622635883354793, 11.883572647121138}	{-13.726264138770729, 9.961638428923395}	{-14.901062284641322, 6.666112461248469}	{-15.032032893148772, 2.3195837870919425}	{-14.106355648606481, -2.6524790828737257}	{-12.214642289282857, -7.763375992537261}	{-9.54206689913049, -12.512816742668132}	{-6.350239778265171, -16.435892981344008}	{-2.9515992040444194, -19.148586672643887}	{0.32117220440575966, -20.38536045761501}	{3.147712778887028, -20.025150301074756}
{-12.102241711340124, 1.4289558687033777}	{-10.454421499232836, -0.46988686610943997}	{-7.7802517564221825, -2.0864970239804785}	{-4.341498849370656, -3.2626295390720372}	{-0.4747718718207967, -3.88315636620987}	{3.441426998593792, -3.887336016089095}	{7.023752930674962, -3.2747593554581993}	{9.921542902658185, -2.1053896559323}	{11.851141041995806, -0.4936929711787683}	{12.62366483850868, 1.4025665979476138}	{12.163494280504334, 3.397769952803458}	{10.515674068397049, 5.296612687616273}	{7.841504325586395, 6.9132228454873115}	{4.4027514185348675, 8.089355360578871}	{0.5360244409850088, 8.709882187716705}	{-3.3801744294295797, 8.714061837595928}	{-6.96250036151075, 8.101485176965033}	{-9.860290333493975, 6.932115477439134}	{-11.789888472831596, 5.320418792685603}	{-12.562412269344469, 3.424159223559221}
{3.473777324942505, 7.920301804641863}	{1.4931509757566488, 6.451851538621693}	{-0.28869206626306854, 3.958603622434019}	{-1.697332589333274, 0.6846145335949947}	{-2.594883044480224, -3.0496348646565066}	{-2.893484939552393, -6.878610223174175}	{-2.5639090405783787, -10.427504755826273}	{-1.6384165328400728, -13.348927939154652}	{-0.20760107128036598, -15.35691051722292}	{1.5884791576457602, -16.25489716485248}	{3.574011307104222, -15.954986692332481}	{5.554637656290075, -14.486536426312309}	{7.336480698309792, -11.993288510124637}	{8.74512122138, -8.719299421285612}	{9.642671676526948, -4.985050023034111}	{9.941273571599119, -1.156074664516443}	{9.611697672625105, 2.392819868135656}	{8.686205164886797, 5.314243051464036}	{7.255389703327091, 7.322225629532303}	{5.459309474400966, 8.220212277161865}
{-7.915053261978672, 15.954437536034508}	{-9.366227659943714, 12.535082922765145}	{-9.776800105974168, 7.936544911921665}	{-9.10658090842613, 2.608960443903737}	{-7.421175792047336, -2.926169394095381}	{-4.885563952536889, -8.127027528015052}	{-1.7479487433925742, -12.484517727197844}	{1.684538197663937, -15.572098490528294}	{5.075901133299254, -17.087535900451485}	{8.0941698303584, -16.882488384610827}	{10.443895119258652, -14.977027422506861}	{11.895069517223693, -11.557672809237502}	{12.305641963254146, -6.959134798394021}	{11.635422765706108, -1.6315503303760917}	{9.950017649327316, 3.9035795076230255}	{7.414405809816867, 9.104437641542697}	{4.276790600672555, 13.461927840725489}	{0.8443036596160423, 16.54950860405594}	{-2.5470592760192754, 18.06494601397913}	{-5.5653279730784195, 17.859898498138474}
{0.0870630634330114, -8.06654368044964}	{1.0655587899712549, -8.11869424530607}	{2.242818203176495, -7.806691220696596}	{3.5036029492355554, -7.161075636522892}	{4.724498632800316, -6.245044844432162}	{5.785995477883038, -5.148266320716063}	{6.584186777403616, -3.9781003889812463}	{7.040940005639181, -2.8490910436513697}	{7.111544974223165, -1.8717535857179781}	{6.789090376896825, -1.1417566150740681}	{6.1051403163197495, -0.7305573213942362}	{5.126644589781508, -0.6784067565378082}	{3.9493851765762673, -0.9904097811472821}	{2.688600430517207, -1.6360253653209855}	{1.4677047469524462, -2.552056157411716}	{0.4062079018697249, -3.648834681127814}	{-0.39198339765085466, -4.819000612862631}	{-0.8487366258864193, -5.948009958192507}	{-0.9193415944704038, -6.925347416125899}	{-0.5968869971440638, -7.6553443867698086}
