{-5.6518648778424385, 4.52310840581367}	{-5.130935088139132, 4.133866925226315}	{-4.271276842190339, 3.6527244107329597}	{-3.157039478700725, 3.1267784439692328}	{-1.8972923141568594, 2.607512280642995}	{-0.6153481781989003, 2.145755310760718}	{0.5633073053155884, 1.7867075237844665}	{1.5232991254845687, 1.565515018736507}	{2.170656594293588, 1.5038296591497378}	{2.442011852290915, 1.6076896378076841}	{2.3108027561805184, 1.8669284163642845}	{1.7898729664772115, 2.256169896951639}	{0.930214720528419, 2.7373124114449947}	{-0.18402264296119508, 3.2632583782087212}	{-1.4437698075050605, 3.782524541534959}	{-2.7257139434630195, 4.2442815114172365}	{-3.9043694269775084, 4.603329298393488}	{-4.864361247146489, 4.824521803441447}	{-5.511718715955508, 4.886207163028217}	{-5.783073973952836, 4.782347184370271}
{-4.189177961761707, 12.217089978347792}	{-3.651287106668617, 9.997374828581458}	{-2.402667551862301, 6.770483029111097}	{-0.5655428790111889, 2.8522852323460683}	{1.680256348905797, -1.3736780616769584}	{4.114895656056835, -5.493740121721394}	{6.500055583928475, -9.104600567189756}	{8.60226006039424, -11.852803219335536}	{10.215730664377816, -13.469334854712907}	{11.182529651450562, -13.795958093812946}	{11.408020000673169, -12.800700778274615}	{10.87012914558008, -10.580985628508286}	{9.621509590773762, -7.354093829037923}	{7.784384917922651, -3.435896032272894}	{5.538585690005665, 0.7900672617501332}	{3.1039463828546268, 4.910129321794568}	{0.7187864549829874, 8.52098976726293}	{-1.383418021482779, 11.269192419408713}	{-2.9968886254663545, 12.885724054786083}	{-3.9636876125391014, 13.212347293886122}
{-11.177100194997301, -10.428658326206737}	{-9.25251798044301, -9.219833511693146}	{-6.602106262766082, -7.022170606964736}	{-3.485305807397027, -4.050792169154152}	{-0.20721075893307073, -0.5965574225652208}	{2.9112960994509205, 3.0024090687372786}	{5.564953588541408, 6.3938153891106415}	{7.494003224187303, 9.245687058599454}	{8.50961618757246, 11.278863008035838}	{8.51237720564913, 12.294321809519145}	{7.502016010730827, 12.192663280442687}	{5.577433796176538, 10.983838465929098}	{2.9270220784996086, 8.78617556120069}	{-0.18977837686944588, 5.814797123390105}	{-3.4678734253334023, 2.3605623768011728}	{-6.586380283717393, -1.2384041145013267}	{-9.24003777280788, -4.629810434874688}	{-11.169087408453777, -7.481682104363504}	{-12.184700371838934, -9.514858053799887}	{-12.187461389915605, -10.530316855283194}
{16.92223722471894, -6.184040829808454}	{15.625282095624108, -4.067697376303569}	{13.257180512419291, -1.1467874634693045}	{10.049738757602503, 2.292769895250081}	{6.3169235776959844, 5.914286860777856}	{2.4241289305616514, 9.363264119935753}	{-1.2475913210438305, 12.302091748159809}	{-4.33882361651405, 14.443096821183355}	{-6.546976600886518, 15.576702845199346}	{-7.655900874944358, 15.591944564279496}	{-7.5570472044130454, 14.487330012764938}	{-6.260092075318212, 12.370986559260055}	{-3.891990492113395, 9.45007664642579}	{-0.684548737296609, 6.010519287706403}	{3.0482664426099095, 2.3890023221786283}	{6.941061089744243, -1.059974936979267}	{10.612781341349725, -3.9988025652033254}	{13.704013636819946, -6.139807638226873}	{15.912166621192414, -7.273413662242863}	{17.021090895250254, -7.288655381323013}
{2.851948943940152, -2.0550304784676405}	{2.3714091012633527, -1.5948638469429408}	{1.5583269159118838, -0.9991811273354265}	{0.4922925372646485, -0.3262918946058363}	{-0.7223431621981008, 0.357936764851296}	{-1.9666831773484037, 0.9865277825469119}	{-3.118922837676666, 1.4979502900178148}	{-4.06627289710418, 1.8421426889426176}	{-4.716000131238193, 1.985413029185103}	{-5.00450471148584, 1.9137370116191805}	{-4.903545799402871, 1.6341307842403812}	{-4.423005956726072, 1.173964152715682}	{-3.6099237713746035, 0.5782814331081677}	{-2.543889392727368, -0.09460779962142257}	{-1.329253693264619, -0.7788364590785549}	{-0.08491367811431605, -1.4074274767741708}	{1.067325982213946, -1.9188499842450737}	{2.01467604164146, -2.2630423831698767}	{2.6644032757754736, -2.4063127234123627}	{2.9529078560231206, -2.3346367058464397}
{-6.05807138367608, -1.6920583398613327}	{-5.235189263836892, -2.496424992840788}	{-3.8396066378140086, -3.541067402225499}	{-2.0079328566384684, -4.723728690533242}	{0.08053508796660869, -5.92864173077873}	{2.2213634023714786, -7.037861239459941}	{4.204992895134244, -7.9428090826804}	{5.837252090743931, -8.554902660403316}	{6.958364086515721, -8.814225988534442}	{7.458586629056888, -8.695394692904435}	{7.288954450648108, -8.210040808675878}	{6.4660723308089185, -7.405674155696424}	{5.070489704786036, -6.361031746311712}	{3.2388159236104963, -5.17837045800397}	{1.1503479790054185, -3.973457417758481}	{-0.9904803353994514, -2.8642379090772705}	{-2.974109828162217, -1.9592900658568109}	{-4.606369023771904, -1.347196488133895}	{-5.727481019543695, -1.0878731600027685}	{-6.227703562084861, -1.2067044556327766}
{-3.435083084991519, 2.6966538307805865}	{-3.0674369731772013, 1.938149299826152}	{-2.36466275237879, 0.8719864846785068}	{-1.3955528598439524, -0.3974711699225635}	{-0.2549705240396568, -1.7459603039131393}	{0.9454361091011508, -3.04148140538196}	{2.088162874601837, -4.15721984249098}	{3.061351714809652, -4.983959363209163}	{3.7697401254396974, -5.440772943015666}	{4.143986113227225, -5.482944485911664}	{4.147455873362469, -5.1063459474520805}	{3.7798097615481514, -4.347841416497646}	{3.0770355407497396, -3.2816786013500012}	{2.1079256482149025, -2.0122209467489305}	{0.9673433124106064, -0.6637318127583547}	{-0.2330633207302013, 0.6317892887104666}	{-1.3757900862308872, 1.7475277258194848}	{-2.348978926438703, 2.5742672465376697}	{-3.0573673370687477, 3.031080826344173}	{-3.4316133248562752, 3.07325236924017}
{0.3592119145186127, -0.1323407151540006}	{0.5502882002496264, 0.05693719493708005}	{0.7996722056179681, 0.37914950533126346}	{1.0829524866176483, 0.8027558301019931}	{1.3723995956146424, 1.2862906307418964}	{1.6396804328837322, 1.7824221519792827}	{1.8586316878179225, 2.2425855837638666}	{2.0078208860611593, 2.621736923245419}	{2.072644349427128, 2.882762195612767}	{2.0467567056699414, 3.0001104285365816}	{1.9326920177303724, 2.9622947593650646}	{1.7416157319993588, 2.773016849273984}	{1.492231726631017, 2.4508045388798005}	{1.208951445631337, 2.027198214109071}	{0.9195043366343428, 1.5436634134691678}	{0.6522234993652531, 1.0475318922317816}	{0.4332722444310627, 0.5873684604471974}	{0.284083046187826, 0.20821712096564493}	{0.21925958282185698, -0.05280815140170292}	{0.24514722657904364, -0.1701563843255176}
{-1.6503458283333803, -6.883253592384557}	{-1.4021252714056633, -6.369979752835169}	{-1.1312563198108365, -5.549823052454228}	{-0.8642535137859606, -4.5030661434427675}	{-0.6272529483026887, -3.3321728852390606}	{-0.4434538899905611, -2.1517584680491244}	{-0.33084787128050896, -1.077370079458361}	{-0.3004575538561385, -0.21417634064610658}	{-0.35525775372873925, 0.35332733100827207}	{-0.4898842455193374, 0.5695897220926622}	{-0.6911588502135456, 0.41344156297904355}	{-0.9393794071412622, -0.09983227657034455}	{-1.210248358736089, -0.9199889769512852}	{-1.4772511647609652, -1.966745885962746}	{-1.714251730244237, -3.1376391441664526}	{-1.8980507885563647, -4.318053561356389}	{-2.010656807266417, -5.392441949947152}	{-2.0410471246907873, -6.255635688759407}	{-1.9862469248181864, -6.823139360413785}	{-1.8516204330275885, -7.0394017514981755}
{16.1841892645771, 5.918390419813214}	{13.644526089914711, 5.942904577959465}	{9.825436633010172, 5.47540528055198}	{5.100759979066201, 4.561654616080144}	{-0.06701960227125381, 3.291096866057693}	{-5.172043839543335, 1.7881030755532104}	{-9.714597391610496, 0.19979674875477738}	{-13.250023466964759, -1.3183476246896788}	{-15.432249928588542, -2.617723495973591}	{-16.047665245952302, -3.5711389015316506}	{-15.036028279941835, -4.0852668986320975}	{-12.496365105279448, -4.109781056778346}	{-8.67727564837491, -3.642281759370862}	{-3.9525989944309368, -2.728531094899026}	{1.2151805869065164, -1.4579733448765757}	{6.320204824178598, 0.04502044562790741}	{10.86275837624576, 1.63332677242634}	{14.398184451600024, 3.1514711458707967}	{16.580410913223808, 4.450847017154709}	{17.19582623058757, 5.404262422712769}
{-12.525800509456433, 1.7903916990604505}	{-10.47477247826396, 0.8318313390074189}	{-7.204066014180384, -0.20050830822853344}	{-3.0338406542621286, -1.2055746452426854}	{1.6276928875934145, -2.0849847762591547}	{6.3242312294954415, -2.7526559104433783}	{10.596044475831814, -3.1432317452430714}	{14.024977782578116, -3.218479996646185}	{16.275383266886855, -2.9710348415199834}	{17.126975560456906, -2.4251179356999937}	{16.496394876201236, -1.6341674295546154}	{14.445366845008767, -0.6756070695015849}	{11.174660380925191, 0.3567325777343672}	{7.004435021006936, 1.3617989147485197}	{2.3429014791513927, 2.241209045764989}	{-2.3536368627506343, 2.9088801799492128}	{-6.625450109087007, 3.299456014748906}	{-10.05438341583331, 3.3747042661520195}	{-12.304788900142048, 3.1272591110258183}	{-13.156381193712102, 2.581342205205828}
{1.926929673977141, 3.5103890698695235}	{1.65573815611546, 2.976304765974947}	{1.3545024688282667, 2.1203321554607104}	{1.0527096600196792, 1.0262598013558133}	{0.779901312530023, -0.19881687146963356}	{0.5627818081791105, -1.4349788226683906}	{0.422604316813348, -2.5612219076103626}	{0.3730903879616285, -3.4673016061444435}	{0.4190867899637861, -4.064524524349642}	{0.5560910745160723, -4.294430321895286}	{0.7706923076815297, -4.134514217469723}	{1.0418838255432104, -3.600429913575147}	{1.3431195128304037, -2.744457303060911}	{1.6449123216389914, -1.6503849489560138}	{1.9177206691286475, -0.42530827613056676}	{2.13484017347956, 0.8108536750681903}	{2.275017664845323, 1.9370967600101623}	{2.324531593697042, 2.8431764585442436}	{2.2785351916948846, 3.4403993767494425}	{2.1415309071425983, 3.6703051742950863}
{9.574856255350111, 1.2540358044699595}	{8.772964309814297, 1.9350095779158158}	{7.433408876453102, 2.7985011564844173}	{5.6873149743154325, 3.7599859681658745}	{3.7056024402941, 4.72534718053421}	{1.6822551046222323, 5.600088512055742}	{-0.18466769799477056, 6.298584186519913}	{-1.7124185560207268, 6.7524605806046365}	{-2.7514505710059174, 6.917289110514111}	{-3.2000560499618604, 6.776935211312901}	{-3.0143223629901836, 6.345137700557939}	{-2.21243041745437, 5.664163927112083}	{-0.8728749840931753, 4.800672348543482}	{0.8732189180444943, 3.839187536862025}	{2.8549314520658267, 2.8738263244936895}	{4.878278787737695, 1.999084992972157}	{6.745201590354698, 1.3005893185079862}	{8.272952448380654, 0.8467129244232625}	{9.311984463365846, 0.681884394513788}	{9.760589942321788, 0.8222382937149972}
{9.301646667832866, 11.066237166589946}	{7.802881881647742, 10.468024109755163}	{5.670735987914196, 9.271972422745662}	{3.113918282244838, 7.595159978068057}	{0.3827078960670499, 5.601724860846669}	{-2.2555452685583695, 3.4867983894342878}	{-4.542590610087212, 1.4574043024119514}	{-6.254556195708756, -0.2878061673625609}	{-7.223862905936748, -1.5779996595113754}	{-7.355628246417105, -2.2868830457163254}	{-6.636954107560495, -2.3450658810546923}	{-5.138189321375372, -1.746852824219907}	{-3.006043427641826, -0.5508011372104065}	{-0.4492257219724687, 1.126011307467198}	{2.28198466420532, 3.1194464246885856}	{4.92023782883074, 5.234372896100967}	{7.207283170359583, 7.263766983123304}	{8.919248755981126, 9.008977452897817}	{9.88855546620912, 10.299170945046631}	{10.020320806689476, 11.008054331251582}
{0.13552653250321, 8.404225150282508}	{0.11289608859281852, 7.738647487864554}	{0.2110760546761945, 6.734548371042365}	{0.4204558916130495, 5.490216017340416}	{0.7205400421288993, 4.127454347312357}	{1.0819541787620333, 2.7796599681394007}	{1.4693205676984413, 1.5787643842906198}	{1.8447210878486953, 0.642319622644663}	{2.1714089207312655, 0.06199142106574662}	{2.417405585095632, -0.10541365269124903}	{2.5586312134742677, 0.1564911763727448}	{2.581261657384659, 0.8220688387906976}	{2.483081691301283, 1.8261679556128874}	{2.273701854364428, 3.070500309314836}	{1.9736177038485785, 4.4332619793428965}	{1.6122035672154447, 5.781056358515852}	{1.2248371782790364, 6.981951942364633}	{0.8494366581287824, 7.91839670401059}	{0.5227488252462124, 8.498724905589507}	{0.2767521608818455, 8.666129979346502}
